restaurant id,category id,item id,category,item,serving size (oz),calories,calories from fat,total fat (g),total fat (% daily value),saturated fat (g),saturated fat (% daily value),trans fat (g),cholesterol (mg),cholesterol (% daily value),sodium (mg),sodium (% daily value),carbohydrates (g),carbohydrates (% daily value),dietary fiber (g),dietary fiber (% daily value),sugars (g),protein (g),vitamin a (% daily value),vitamin c (% daily value),calcium (% daily value),iron (% daily value)
3000,126,576,Frappuccino® Blended Coffee,Coffee-Tall Nonfat Milk,,160,,0.1,,0.0,,0.0,36.0,,0.0,,160,,0,,36.0,3.0,4.0,0.0,10.0,10.0
3000,126,577,Frappuccino® Blended Coffee,Coffee-Tall Whole Milk,,180,,2.5,,0.1,,1.5,36.0,,10.0,,160,,0,,36.0,3.0,4.0,0.0,8.0,0.0
3000,126,578,Frappuccino® Blended Coffee,Coffee-Tall Soymilk,,160,,1.5,,0.0,,0.2,35.0,,0.0,,150,,0,,34.0,2.0,4.0,0.0,10.0,0.0
3000,126,579,Frappuccino® Blended Coffee,Coffee-Grande Nonfat Milk,,220,,0.1,,0.0,,0.1,51.0,,0.0,,210,,0,,50.0,4.0,6.0,0.0,10.0,4.0
3000,126,580,Frappuccino® Blended Coffee,Coffee-Grande Whole Milk,,240,,3,,0.1,,2.0,50.0,,10.0,,220,,0,,50.0,3.0,4.0,0.0,10.0,0.0
3000,126,581,Frappuccino® Blended Coffee,Coffee-Grande Soymilk,,220,,1.5,,0.0,,0.2,49.0,,0.0,,210,,0,,47.0,3.0,4.0,0.0,10.0,0.0
3000,126,582,Frappuccino® Blended Coffee,Coffee-Venti Nonfat Milk,,310,,0.1,,0.0,,0.1,70.0,,5.0,,300,,0,,69.0,6.0,10.0,0.0,20.0,6.0
3000,126,583,Frappuccino® Blended Coffee,Coffee-Venti Whole Milk,,350,,5,,0.2,,3.0,70.0,,15.0,,300,,0,,69.0,5.0,8.0,0.0,15.0,2.0
3000,126,584,Frappuccino® Blended Coffee,Coffee-Venti  Soymilk,,310,,2.5,,0.0,,0.3,68.0,,0.0,,300,,1,,66.0,5.0,6.0,0.0,20.0,2.0
3000,126,585,Frappuccino® Blended Coffee,Mocha (Without Whipped Cream)-Tall Nonfat Milk,,180,,0.5,,0.0,,0.4,42.0,,0.0,,150,,1,,40.0,3.0,4.0,0.0,10.0,8.0
3000,126,586,Frappuccino® Blended Coffee,Mocha (Without Whipped Cream)-Tall Whole Milk,,200,,3,,0.1,,2.0,42.0,,10.0,,160,,1,,40.0,3.0,4.0,0.0,8.0,6.0
3000,126,587,Frappuccino® Blended Coffee,Mocha (Without Whipped Cream)-Tall Soymilk,,180,,2,,0.0,,0.5,40.0,,0.0,,150,,1,,38.0,3.0,4.0,0.0,10.0,10.0
3000,126,588,Frappuccino® Blended Coffee,Mocha (Without Whipped Cream)-Grande Nonfat Milk,,260,,1,,0.0,,0.5,61.0,,0.0,,220,,1,,58.0,4.0,6.0,0.0,10.0,8.0
3000,126,589,Frappuccino® Blended Coffee,Mocha (Without Whipped Cream)-Grande Whole Milk,,290,,4,,0.1,,2.5,61.0,,10.0,,220,,1,,58.0,4.0,4.0,0.0,10.0,8.0
3000,126,590,Frappuccino® Blended Coffee,Mocha (Without Whipped Cream)-Grande Soymilk,,260,,2.5,,0.0,,0.5,59.0,,0.0,,220,,1,,55.0,4.0,4.0,0.0,10.0,15.0
3000,126,591,Frappuccino® Blended Coffee,Mocha (Without Whipped Cream)-Venti Nonfat Milk,,340,,1,,0.0,,0.5,80.0,,5.0,,300,,1,,76.0,7.0,10.0,0.0,15.0,10.0
3000,126,592,Frappuccino® Blended Coffee,Mocha (Without Whipped Cream)-Venti Whole Milk,,390,,6,,0.1,,3.5,80.0,,15.0,,300,,1,,76.0,6.0,8.0,0.0,15.0,10.0
3000,126,593,Frappuccino® Blended Coffee,Mocha (Without Whipped Cream)-Venti Soymilk,,350,,3,,0.0,,1.0,78.0,,0.0,,290,,2,,73.0,6.0,6.0,0.0,20.0,20.0
3000,126,594,Frappuccino® Blended Coffee,Caramel (Without Whipped Cream)-Tall Nonfat Milk,,180,,0.1,,0.0,,0.0,42.0,,0.0,,160,,0,,41.0,3.0,4.0,0.0,10.0,0.0
3000,126,595,Frappuccino® Blended Coffee,Caramel (Without Whipped Cream)-Tall Whole Milk,,200,,2.5,,0.1,,1.5,42.0,,10.0,,160,,0,,41.0,3.0,4.0,0.0,8.0,0.0
3000,126,596,Frappuccino® Blended Coffee,Caramel (Without Whipped Cream)-Tall Soymilk,,180,,1.5,,0.0,,0.2,40.0,,0.0,,150,,0,,39.0,2.0,4.0,0.0,10.0,4.0
3000,126,597,Frappuccino® Blended Coffee,Caramel (Without Whipped Cream)-Grande Nonfat Milk,,280,,0.1,,0.0,,0.1,60.0,,0.0,,220,,0,,59.0,4.0,6.0,0.0,10.0,0.0
3000,126,598,Frappuccino® Blended Coffee,Caramel (Without Whipped Cream)-Grande Whole Milk,,280,,3.5,,0.1,,2.0,60.0,,10.0,,220,,0,,59.0,3.0,4.0,0.0,10.0,0.0
3000,126,599,Frappuccino® Blended Coffee,Caramel (Without Whipped Cream)-Grande Soymilk,,260,,1.5,,0.0,,0.2,58.0,,0.0,,220,,0,,56.0,3.0,4.0,0.0,10.0,6.0
